	tissue_1	tissue_2	p-val	drug
90	melanoma	lung	1.0	gamma
91	melanoma	melanoma	1.0	gamma
92	melanoma	ovary	0.7748360407928497	gamma
93	melanoma	pancreas	1.0	gamma
94	melanoma	prostate	1.0	gamma
95	melanoma	sarcoma	1.0	gamma
96	ovary	bladder	1.0	gamma
97	ovary	brain	1.0	gamma
98	ovary	breast	1.0	gamma
99	ovary	colon	1.0	gamma
100	ovary	hematological	1.0	gamma
101	ovary	liver	1.0	gamma
102	ovary	lung	1.0	gamma
103	ovary	melanoma	0.7748360407928497	gamma
104	ovary	ovary	1.0	gamma
105	ovary	pancreas	1.0	gamma
106	ovary	prostate	1.0	gamma
107	ovary	sarcoma	1.0	gamma
108	pancreas	bladder	1.0	gamma
109	pancreas	brain	0.36597807922262227	gamma
110	pancreas	breast	1.0	gamma
111	pancreas	colon	1.0	gamma
112	pancreas	hematological	1.0	gamma
113	pancreas	liver	1.0	gamma
114	pancreas	lung	1.0	gamma
115	pancreas	melanoma	1.0	gamma
116	pancreas	ovary	1.0	gamma
117	pancreas	pancreas	1.0	gamma
118	pancreas	prostate	1.0	gamma
119	pancreas	sarcoma	1.0	gamma
120	prostate	bladder	0.8622789834565106	gamma
121	prostate	brain	0.32071412752085854	gamma
122	prostate	breast	1.0	gamma
123	prostate	colon	1.0	gamma
124	prostate	hematological	1.0	gamma
125	prostate	liver	1.0	gamma
126	prostate	lung	1.0	gamma
127	prostate	melanoma	1.0	gamma
128	prostate	ovary	1.0	gamma
129	prostate	pancreas	1.0	gamma
130	prostate	prostate	1.0	gamma
131	prostate	sarcoma	1.0	gamma
132	sarcoma	bladder	1.0	gamma
133	sarcoma	brain	0.6328735647374703	gamma
134	sarcoma	breast	1.0	gamma
135	sarcoma	colon	1.0	gamma
136	sarcoma	hematological	1.0	gamma
137	sarcoma	liver	1.0	gamma
138	sarcoma	lung	1.0	gamma
139	sarcoma	melanoma	1.0	gamma
140	sarcoma	ovary	1.0	gamma
141	sarcoma	pancreas	1.0	gamma
142	sarcoma	prostate	1.0	gamma
143	sarcoma	sarcoma	1.0	gamma
0	brain	brain	1.0	nutlin
1	brain	breast	1.0	nutlin
2	brain	colon	1.0	nutlin
3	brain	hematological	1.0	nutlin
4	brain	liver	1.0	nutlin
5	brain	lung	1.0	nutlin
6	brain	melanoma	0.6356272481400137	nutlin
7	brain	ovary	1.0	nutlin
8	brain	pancreas	1.0	nutlin
9	brain	prostate	0.29493957442836755	nutlin
10	brain	sarcoma	1.0	nutlin
11	breast	brain	1.0	nutlin
12	breast	breast	1.0	nutlin
